,euclidean_auc,euclidean_f1,euclidean_top1,euclidean_top3,cosine_auc,cosine_f1,cosine_top1,cosine_top3
1,0.8059261413825609,0.6547069371804449,0.6594111969111969,0.7302203989703989,0.8357162284903582,0.703735683270931,0.7105212355212356,0.771476833976834
2,0.8700359432367998,0.6160986881892386,0.6218227155727156,0.8279037966537965,0.8960221584853751,0.6824137880113057,0.6908864221364222,0.8611003861003862
3,0.9002087640139751,0.6600549449118327,0.6710666023166023,0.8753941441441441,0.9244925220650794,0.7445950870366035,0.7436776061776061,0.9031611969111971
4,0.9103348317335245,0.6831894009474796,0.6907979407979409,0.8753780566280567,0.9336645591573992,0.7583869929831801,0.7571267696267696,0.9013915701415703
5,0.9195131946071813,0.6890783333832754,0.7123552123552124,0.8753780566280567,0.9420157557453486,0.7793421387351425,0.7714205276705277,0.9139720077220078
6,0.9279397392298219,0.6954461558041273,0.7347329472329471,0.8879424066924066,0.9507118157918544,0.7855925525481781,0.7884893822393823,0.9184684684684686
7,0.9310663181194299,0.7128655338175781,0.7275498712998714,0.8942326254826254,0.9572617891044521,0.8005471988612187,0.7867036679536679,0.929222972972973
8,0.9375589946778955,0.73038700780836,0.7356258043758043,0.8960424710424709,0.9593963694916159,0.7932110529339983,0.798334942084942,0.9336872586872588
9,0.9424131372148977,0.7304077946885686,0.7401303088803088,0.9040942728442728,0.9608945335055438,0.7898336625795581,0.7912081724581725,0.9354890604890607
10,0.9445976319351248,0.7258374557839467,0.7463963963963964,0.9094594594594596,0.9606352447900471,0.7830130843947587,0.7920608108108109,0.9408703346203346
11,0.9462756895429238,0.7361534927921535,0.7526061776061777,0.905888030888031,0.961902903007273,0.7831045766379161,0.7875884813384812,0.938167631917632
12,0.949152647983966,0.732170474496713,0.7517052767052766,0.9103764478764479,0.9619789945889167,0.7836116691694768,0.7947554697554697,0.9381756756756758
13,0.9501779996758085,0.7447114128060869,0.7508043758043759,0.914864864864865,0.9621852858235563,0.7878704068788223,0.7992438867438868,0.9363658301158301
14,0.9512985156546788,0.7512194116102633,0.7534829472329474,0.9175434362934365,0.9641707599725275,0.7814542782239169,0.7956402831402831,0.9354649292149293
15,0.9537492674132485,0.7547203925858939,0.7534668597168598,0.9175273487773488,0.965721528537516,0.7874088820429018,0.7893420205920206,0.934572072072072
